course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00112-01,USA-AL-00112,Limestone Springs,18,72,Parkland,Jerry Pate,1999,Open,59,69,49,N/D,N/D,USD
USA-AL-00113-01,USA-AL-00113,Livingston,9,36,Parkland,N/D,1968,Closed,~,~,~,N/D,N/D,USD
USA-AL-00115-01,USA-AL-00115,Executive,18,68,Parkland,Rick Rounsavall,2001,Open,22.5,27.5,27.5,N/D,N/D,USD
USA-AL-00116-01,USA-AL-00116,Azalea,18,72,Parkland,Perry Maxwell/Ron Garl,1948,Open,65,65,65,N/D,N/D,USD
USA-AL-00116-02,USA-AL-00116,Dogwood,18,71,Parkland,Perry Maxwell/Joe Lee,1948,Open,65,65,65,N/D,N/D,USD
USA-AL-00117-01,USA-AL-00117,McFarland Park,18,72,Parkland,Earl Stone,1972,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00118-01,USA-AL-00118,The Links,18,72,Parkland,William Shamblin MD,1965,Closed,~,~,~,N/D,N/D,USD
USA-AL-00119-01,USA-AL-00119,Montevallo,18,71,Parkland,N/D,1955,Open,29,34,34,N/D,N/D,USD
USA-AL-00120-01,USA-AL-00120,Montgomery,18,70,Parkland,Jock Ingles,1903,Closed,88,88,88,N/D,N/D,USD
USA-AL-00121-01,USA-AL-00121,Moores Mill,18,72,Parkland,"Glen Day,Alan Blalock",2000,Open,80,80,80,N/D,N/D,USD
USA-AL-00122-01,USA-AL-00122,Mountain Brook,18,71,Parkland,Donald Ross,1929,Closed,~,~,~,N/D,N/D,USD
USA-AL-00123-01,USA-AL-00123,Musgrove,18,71,Parkland,Jerry Pate,1932,Closed,35,55,55,N/D,N/D,USD
USA-AL-00124-01,USA-AL-00124,NorthRiver,18,71,Parkland,Gary Player/Bob Cupp,1978,Closed,~,~,~,N/D,N/D,USD
USA-AL-00125-01,USA-AL-00125,Oak Mountain State Park,18,72,Parkland,Earl Stone,1973,Open,21,28,28,N/D,N/D,USD
USA-AL-00126-01,USA-AL-00126,Ocumulgee,18,72,Parkland,Bud Burns,1996,Open,25,28,28,N/D,N/D,USD
USA-AL-00127-01,USA-AL-00127,Ol' Colony,18,72,Parkland,Jerry Pate,2000,Open,45,50,39,N/D,N/D,USD
